Название файла-источника	Возраст ребенка	ID говорящего	Реплика	Слово-ошибка	Правильная форма
T104.cha	1;10.15	rus|ruslan-m|NAN||female|||Nurse|||	ну людолед [: людое] [*] ?	людолед	людое
T104.cha	1;10.15	rus|ruslan-m|CHI|1;10.15|female|||Target_Child|||	тап-тап-тап-тап [: топ-топ-топ-топ] [*] .	тап-тап-тап-тап@о	топ-топ-топ-топ
T11.cha	1;00.26	rus|ruslan-m|CHI|1;00.26|female|||Target_Child|||	Вава [: Варя] [*] .	Вава@ц	Варя
T123.cha	1;11.25	rus|ruslan-m|NAN||female|||Nurse|||	мы за мячивом [: мячиком] [*] , мы за мячиком бегаем .	мячивом	мячиком
T126.cha	1;11.26	rus|ruslan-m|CHI|1;11.26|female|||Target_Child|||	дам-дам [: дай-дай] [*] , ну няня .	дам-дам	дай-дай
T129.cha	1;11.26	rus|ruslan-m|NAN||female|||Nurse|||	что на небе , Точ [: Тося] [*] [?] ?	Точ	Тося
T137.cha	2;00.23	rus|ruslan-m|CHI|2;00.23|female|||Target_Child|||	Пепе [: Пепа] [*] [?] .	Пепе	Пепа
T137.cha	2;00.23	rus|ruslan-m|CHI|2;00.23|female|||Target_Child|||	Пепе [: Пепа] [*] [?] .	Пепе	Пепа
T138.cha	2;00.23	rus|ruslan-m|CHI|2;00.23|female|||Target_Child|||	мапа [: мама] [*] , папа , мама .	мапа	мама
T138.cha	2;00.23	rus|ruslan-m|CHI|2;00.23|female|||Target_Child|||	мапа [: мама] [*] .	мапа	мама
T141.cha	2;00.29	rus|ruslan-m|CHI|2;00.29|female|||Target_Child|||	Рара [: Варин] [*] тапта [: обувь] бара .	Рара@ц	Варин
T150.cha	2;01.25	rus|ruslan-m|CHI|2;01.25|female|||Target_Child|||	ко [: жки] [*] .	ко	жки
T153.cha	2;02.06	rus|ruslan-m|CHI|2;02.06|female|||Target_Child|||	я [: себя] [*] !	я	себя
T155.cha	2;02.16	rus|ruslan-m|CHI|2;02.16|female|||Target_Child|||	няня , няняня [: няня] [*] .	няняня	няня
T158.cha	2;02.16	rus|ruslan-m|CHI|2;02.16|female|||Target_Child|||	дема [: деньги] [*] .	дема	деньги
T158.cha	2;02.16	rus|ruslan-m|CHI|2;02.16|female|||Target_Child|||	дема [: деньги] [*] .	дема	деньги
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	ой , таптае [: тапки] [*] .	таптае	тапки
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапки] [*] .	тапта	тапки
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапки] [*] .	тапта	тапки
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапки] [*] .	тапта	тапки
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапок] [*] нет .	тапта	тапок
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапок] [*] .	тапта	тапок
T164.cha	2;02.26	rus|ruslan-m|CHI|2;02.26|female|||Target_Child|||	няняня [: няня] [*] .	няняня	няня
T167.cha	2;03.12	rus|ruslan-m|CHI|2;03.12|female|||Target_Child|||	не , я байсё [: большая] [*] !	байсё	большая
T167.cha	2;03.12	rus|ruslan-m|CHI|2;03.12|female|||Target_Child|||	даси [: здравствуйте] [*] .	даси	здравствуйте
T167.cha	2;03.12	rus|ruslan-m|MOT||female|||Mother|||	драси [: здравствуйте] [*] .	драси	здравствуйте
T167.cha	2;03.12	rus|ruslan-m|MOT||female|||Mother|||	давайте , здраси [: здравствуйте] [*] .	здраси	здравствуйте
T167.cha	2;03.12	rus|ruslan-m|CHI|2;03.12|female|||Target_Child|||	дася [: здравствуйте] [*] , дася [: здравствуйте] [*] , дася [: здравствуйте] [*] .	дася	здравствуйте
T167.cha	2;03.12	rus|ruslan-m|CHI|2;03.12|female|||Target_Child|||	дася [: здравствуйте] [*] , дася [: здравствуйте] [*] , дася [: здравствуйте] [*] .	дася	здравствуйте
T167.cha	2;03.12	rus|ruslan-m|CHI|2;03.12|female|||Target_Child|||	дася [: здравствуйте] [*] , дася [: здравствуйте] [*] , дася [: здравствуйте] [*] .	дася	здравствуйте
T167.cha	2;03.12	rus|ruslan-m|CHI|2;03.12|female|||Target_Child|||	дяся [: здравствуйте] [*] , дяся [: здравствуйте] [*] .	дяся	здравствуйте
T167.cha	2;03.12	rus|ruslan-m|CHI|2;03.12|female|||Target_Child|||	дяся [: здравствуйте] [*] , дяся [: здравствуйте] [*] .	дяся	здравствуйте
T167.cha	2;03.12	rus|ruslan-m|MOT||female|||Mother|||	семь восек [: восемь] [*] .	восек	восемь
T167.cha	2;03.12	rus|ruslan-m|CHI|2;03.12|female|||Target_Child|||	чиx [: четыре] [*] .	чиx@у	четыре
T170.cha	2;03.22	rus|ruslan-m|CHI|2;03.22|female|||Target_Child|||	й , мае [: моя] [*] .	мае	моя
T171.cha	2;03.22	rus|ruslan-m|CHI|2;03.22|female|||Target_Child|||	фапка [: шапку] [*] .	фапка	шапку
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	Дёсь [: Джорджа] [*] нет .	Дёсь	Джорджа
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	Дёсь [: Джордж] , бибика [: машинки] [*] нет .	бибика	машинки
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	нет Митя [: Мити] [*] .	Митя	Мити
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	нет Митя [: Мити] [*] .	Митя	Мити
T182.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	нет Митя [: Мити] [*] .	Митя	Мити
T183.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	Тося в [: с] [*] няней [?] .	в	с
T183.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	неть [: нет] дось [: дождя] [*] .	дось	дождя
T183.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	дось [: дождя] [*] неть [: нет] .	дось	дождя
T189.cha	2;04.12	rus|ruslan-m|CHI|2;04.12|female|||Target_Child|||	нясёй [: нашла] [*] .	нясёй	нашла
T189.cha	2;04.12	rus|ruslan-m|CHI|2;04.12|female|||Target_Child|||	Варик [: Варин] [*] .	Варик	Варин
T190.cha	2;04.15	rus|ruslan-m|CHI|2;04.15|female|||Target_Child|||	я [: мея] [*] здесь нет .	я	мея
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	я не наю [: знаю] [*] какую [:: такую] [*] песенку .	наю@ц	знаю
T199.cha	2;06.18	rus|ruslan-m|NAN||female|||Nurse|||	ты за [: забыла] [*] , ты за [: забыла] [*] +...	за	забыла
T199.cha	2;06.18	rus|ruslan-m|NAN||female|||Nurse|||	ты за [: забыла] [*] , ты за [: забыла] [*] +...	за	забыла
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	++ ония [: стройная] [*] .	ония@ц	стройная
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	ател [: метель] [*] .	ател@ц	метель
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	ат [: платье] [*] .	ат@ц	платье
T199.cha	2;06.18	rus|ruslan-m|CHI|2;06.18|female|||Target_Child|||	мами [: мамино] [*] платьишко ?	мами	мамино
