Название файла-источника	Возраст ребенка	ID говорящего	Реплика	Слово-ошибка	Правильная форма	Лемма	Морфологический разбор
T104.cha	1;10.15	rus|ruslan-m|NAN||female|||Nurse|||	ну людолед [: людое] [*] ?	людолед	людое	людолед	S,муж,од=им,ед
T11.cha	1;00.26	rus|ruslan-m|CHI|1;00.26|female|||Target_Child|||	Вава [: Варя] [*] .	Вава@ц	Варя	вава	S,имя,жен,од=им,ед
T123.cha	1;11.25	rus|ruslan-m|NAN||female|||Nurse|||	мы за мячивом [: мячиком] [*] , мы за мячиком бегаем .	мячивом	мячиком	мячиво	S,муж,неод=твор,ед
T137.cha	2;00.23	rus|ruslan-m|CHI|2;00.23|female|||Target_Child|||	Пепе [: Пепа] [*] [?] .	Пепе	Пепа	пепе	S,имя,жен,од=им,ед
T137.cha	2;00.23	rus|ruslan-m|CHI|2;00.23|female|||Target_Child|||	Пепе [: Пепа] [*] [?] .	Пепе	Пепа	пепе	S,имя,жен,од=им,ед
T141.cha	2;00.29	rus|ruslan-m|CHI|2;00.29|female|||Target_Child|||	Рара [: Варин] [*] тапта [: обувь] бара .	Рара@ц	Варин	рара	S,имя,жен,од=им,ед
T155.cha	2;02.16	rus|ruslan-m|CHI|2;02.16|female|||Target_Child|||	няня , няняня [: няня] [*] .	няняня	няня	няняня	S,жен,од=им,ед
T158.cha	2;02.16	rus|ruslan-m|CHI|2;02.16|female|||Target_Child|||	дема [: деньги] [*] .	дема	деньги	дема	S,неод=им,мн
T158.cha	2;02.16	rus|ruslan-m|CHI|2;02.16|female|||Target_Child|||	дема [: деньги] [*] .	дема	деньги	дема	S,неод=им,мн
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	ой , таптае [: тапки] [*] .	таптае	тапки	таптай	S,муж,неод=им,мн
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапки] [*] .	тапта	тапки	тапта	S,жен,неод=им,ед
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапки] [*] .	тапта	тапки	тапта	S,жен,неод=им,ед
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапки] [*] .	тапта	тапки	тапта	S,жен,неод=им,ед
T160.cha	2;02.20	rus|ruslan-m|CHI|2;02.20|female|||Target_Child|||	тапта [: тапок] [*] нет .	тапта	тапок	тапта	S,жен,неод=им,ед
